College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1210,"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123",IT,"INFORMATION TECHNOLOGY",149,,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",140,,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",AL,"ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",153,,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",CS,"COMPUTER SCIENCE AND ENGINEERING",166.5,123,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",166,133,,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",IT,"INFORMATION TECHNOLOGY",164,134.5,,,,,,
1211,"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",SC,"COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)",143,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",149,,,,,,
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105",IT,"INFORMATION TECHNOLOGY",161,,,,,,
1226,"P.T.Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kanchipuram District-631502",CS,"COMPUTER SCIENCE AND ENGINEERING",150.5,,,,,,
1229,"Indira Institute of Engineering and Technology, No.1, V.G.R Nagar, V.G.R Gardens, Pandur, Thiruvallur-631203",ME,"MECHANICAL ENGINEERING",112.5,,,,,,
1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumbudur Taluk, Kanchipuram District-602105",AE,"AERONAUTICAL ENGINEERING",139,,,,,,
