college_name,branch_name,tnea_code,category,cutoff_2024,nirf_rank_2024
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",COMPUTER SCIENCE AND ENGINEERING,1315,BC,165,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",ELECTRONICS AND COMMUNICATION ENGINEERING,1315,OC,190.5,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",ELECTRICAL AND ELECTRONICS ENGINEERING,1315,OC,187.5,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",INFORMATION TECHNOLOGY,1315,OC,197.5,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",INFORMATION TECHNOLOGY,1315,BC,161.5,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",MECHANICAL ENGINEERING,1315,OC,178,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",MECHANICAL ENGINEERING,1315,BC,172,999
"St. Joseph's College of Engineering (Autonomous), Jeppiaar Nagar, Old Mamallapuram Road, Kanchipuram, Chennai-600119",MECHANICAL ENGINEERING,1317,OC,138,999
"Central Institute of Petrochemicals Engineering and Technology (Formerly CIPET), Guindy, Chennai 600032",PLASTIC TECHNOLOGY,1321,OC,160.5,999
"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1322,OC,120,999
"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1322,BC,115.5,999
"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",AERONAUTICAL ENGINEERING,1322,OC,131,999
"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104",ELECTRICAL AND ELECTRONICS ENGINEERING,1322,OC,150,999
"Sri Sai Ram Institute of Technology (Autonomous), Sai Leo Nagar, Dharkast Road, West Tambaram, Kanchipuram, Chennai-600044",ELECTRONICS AND COMMUNICATION ENGINEERING,1324,OC,123.5,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1399,OC,153,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1399,BC,144.5,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",COMPUTER SCIENCE AND ENGINEERING,1399,OC,128.5,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",Electronics and Communication (Advanced Communication Technology),1399,OC,142,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",ELECTRONICS AND COMMUNICATION ENGINEERING,1399,OC,148,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",INFORMATION TECHNOLOGY,1399,OC,185,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",MECHANICAL ENGINEERING,1399,OC,152,999
"Chennai Institute of Technology (Autonomous), Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",MECHATRONICS ENGINEERING,1399,OC,145,999
"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Taluk, Villupuram District-607204",ELECTRONICS AND COMMUNICATION ENGINEERING,1402,OC,127,999
"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Taluk, Villupuram District-607204",ELECTRICAL AND ELECTRONICS ENGINEERING,1402,OC,120,999
"Mailam Engineering College, Mailam, Tindivanam Taluk, Villupuram District-604304",COMPUTER SCIENCE AND ENGINEERING,1412,OC,134.5,999
"Sri Sai Ram Engineering College (Autonomous), Sai Leo Nagar, Poonthandalam Village, Dharkast Post, West Tambram, Kanchipuram, Chennai-600044",MECHANICAL ENGINEERING,1419,OC,139,999
"Sri Sai Ram Engineering College (Autonomous), Sai Leo Nagar, Poonthandalam Village, Dharkast Post, West Tambram, Kanchipuram, Chennai-600044",MECHANICAL ENGINEERING,1419,BC,135.5,999
"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107",COMPUTER SCIENCE AND ENGINEERING,1421,OC,111,999
"V.R.S. College of Engineering and Technology, Arasur & Post, Ulundurpet Taluk, Villupuram District-607107",ELECTRICAL AND ELECTRONICS ENGINEERING,1421,OC,118,999
"SRM Valliammai Engineering College (Autonomous), S.R.M. Nagar, Kattankulathur, Chengalpattu, Kancheepuram, Chennai-603203",COMPUTER SCIENCE AND ENGINEERING,1422,OC,142.5,999
"Sri Krishna Engineering College, Panapakkam, Near Padappai Via Tambaram, Kanchipuram, Chennai-601301",COMPUTER SCIENCE AND ENGINEERING,1427,OC,164,999
"Maha Barathi Engineering College, A. Vasudevanur (post), Chinnasalem, Kallakurichi (Taluk), Villupuram-606201",ELECTRONICS AND COMMUNICATION ENGINEERING,1430,OC,138.5,999
"Rrase College of Engineering, Vanjuvancherry, Padappai, Sriperumbadur, Kancheepuram-601301",ELECTRICAL AND ELECTRONICS ENGINEERING,1437,OC,135.5,999
"R.M.Engineering College (formerly Chendu College of Engineering and Technology), Zamin Endathur Village, Madurantakam, Kanchipuram-603311",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),1444,OC,123,999
"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Chennai-600034",COMPUTER SCIENCE AND ENGINEERING,1450,OC,133.5,999
"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Chennai-600034",MECHANICAL ENGINEERING,1450,OC,128.5,999
"PERI Institute of Technology (Autonomous), Mannivakkam, Tambaram, Kancheepuram, Chennai-600048",COMPUTER SCIENCE AND ENGINEERING,1452,OC,146.5,999
